Date,Open,High,Low,Close,Volume
2015-03-27,97.2302,97.8351,97.0881,97.6096,36616910
2015-03-30,98.2175,98.8451,98.2175,98.7564,33041288
2015-03-31,98.4721,98.6874,97.6587,97.6782,32952658
2015-04-01,97.6782,97.6977,96.5595,97.2007,35635618
2015-04-02,97.2883,97.5605,96.947,97.2585,20713370
2015-04-06,96.6871,98.3256,96.5304,98.0411,26427645
2015-04-07,97.9819,98.7366,97.8645,97.8645,20943786
2015-04-08,97.9038,98.8154,97.894,98.6775,27957894
2015-04-09,98.6577,99.315,98.2863,99.2752,24981475
2015-04-10,99.2359,99.688,99.0312,99.678,18551807
2015-04-13,99.7563,100.268,99.3249,99.4335,19220953
2015-04-14,99.4236,99.6193,98.5999,99.1596,25676033
2015-04-15,99.4036,99.971,99.2852,99.7663,22823899
2015-04-16,99.5021,99.8061,99.3647,99.6293,17504455
2015-04-17,98.6973,98.9628,97.639,98.0702,50273932
2015-04-20,98.5805,99.7174,98.541,99.5408,31285801
2015-04-21,100.109,100.295,99.8541,99.962,24569708
2015-04-22,100.229,100.686,99.5806,100.511,23153412
2015-04-23,100.169,101.373,100.149,100.905,31855720
2015-04-24,101.99,102.424,101.816,102.288,35135951
2015-04-27,102.647,102.845,101.806,102.03,33637043
2015-04-28,102.108,102.298,100.954,101.825,39827969
2015-04-29,101.266,101.854,100.609,101.187,36795898
2015-04-30,100.591,101.013,99.0608,99.5706,47643824
2015-05-01,99.962,100.963,99.942,100.895,35531752
2015-05-04,101.236,101.699,101.013,101.071,25407444
2015-05-05,100.658,100.845,99.3647,99.4036,51710689
2015-05-06,99.5806,99.8641,98.0603,98.7366,46109906
2015-05-07,98.7169,99.5903,98.6391,99.315,31702398
2015-05-08,100.344,100.776,100.189,100.551,35692795
2015-05-11,100.618,100.825,100.08,100.159,21270006
2015-05-12,99.5706,100.219,98.8254,99.7074,36386384
2015-05-13,100.139,100.666,99.7663,99.9121,22414825
2015-05-14,100.736,101.482,100.364,101.403,25836540
2015-05-15,101.689,101.796,101.147,101.403,25856516
2015-05-18,101.236,102.05,101.157,101.845,19038541
2015-05-19,101.96,102.118,101.571,101.728,15361717
2015-05-20,101.806,102.414,101.266,101.796,22840026
2015-05-21,101.63,102.463,101.472,102.326,18127577
2015-05-22,102.198,102.568,102.148,102.218,14638531
2015-05-26,102.01,102.148,100.618,101.041,27543979
2015-05-27,101.354,102.766,101.127,102.657,33043991
2015-05-28,102.472,102.707,102.138,102.444,18697894
2015-05-29,102.385,102.511,101.6,101.835,32838954
2015-06-01,102.385,102.453,101.344,102.178,26556356
2015-06-02,101.796,102.356,101.295,101.854,21008369
2015-06-03,102.316,102.529,101.912,102.158,22164935
2015-06-04,101.591,102.228,101.051,101.383,33910710
2015-06-05,101.266,101.501,100.491,101.137,24471981
2015-06-08,101.09,101.167,99.8841,100.08,26533678
2015-06-09,99.8541,100.286,99.1685,99.922,29781869
2015-06-10,100.179,101.62,100.149,101.315,32745975
2015-06-11,101.659,101.931,101.285,101.462,19015657
2015-06-12,100.915,101.137,100.461,100.609,29399621
2015-06-15,99.8641,100.268,99.2752,100.1,33764042
2015-06-16,100.001,100.825,99.962,100.658,17787112
2015-06-17,100.825,101.276,100.315,100.944,25179929
2015-06-18,101.325,102.578,101.266,102.424,46510890
2015-06-19,102.472,102.529,101.845,101.921,30061842
2015-06-22,102.647,102.973,102.434,102.647,20619006
2015-06-23,102.766,102.835,102.326,102.736,19548329
2015-06-24,102.607,103.061,102.188,102.218,17055155
2015-06-25,102.597,102.707,101.854,102.02,19762581
2015-06-26,102.01,102.228,100.954,101.344,34843376
2015-06-29,100.199,100.766,98.9134,98.953,54861200
2015-06-30,99.668,99.8841,99.0025,99.2852,37537448
2015-07-01,100.268,100.461,99.6093,100.06,22961306
2015-07-02,100.364,100.442,99.7961,100.09,22105628
2015-07-06,99.4722,100.442,99.2556,99.8641,26215887
2015-07-07,99.971,100.209,98.1291,100.109,47696395
2015-07-08,99.4036,99.5208,98.1878,98.3739,42801418
2015-07-09,99.678,99.7762,98.3157,98.3256,30604792
2015-07-10,99.6293,100.189,99.2653,99.8251,28485608
